"";"UF";"Year";"EvapoBHReal";"InsolacaoTotal";"PrecipitacaoTotal";"PressaoMedia";"TempMaximaMedia";"TempMinimaMedia";"Safra";"Area";"ProdutAlgCar";"ProdutPluma";"ProdutCarAlg";"RendPluma";"ProducAlgCar";"ProducPluma";"ProducCarAlg"
"137";"AL";2005;NA;223,79298245614;98,0775862068966;974,870399724138;30,2848644137931;21,4022380172414;"2005.06";10,2;405;133,65;271,35;33;4,131;1,36323;2,76777
"138";"AM";2005;NA;151,946428571429;196,92298136646;1001,79745215789;33,1858955584416;23,1976799426752;"2005.06";0;0;0;0;0;0;0;0
"139";"AP";2005;NA;209,825;215,958333333333;NA;32,0089273333333;24,37609775;"2005.06";0;0;0;0;0;0;0;0
"140";"BA";2005;NA;203,03679245283;86,8191044776119;961,443953494881;30,10230191875;19,818164140625;"2005.06";233,7;3345;1294,515;2050,485;38,7;781,7265;302,5281555;479,1983445
"141";"CE";2005;NA;239,977372262774;62,2709219858156;970,593216938776;32,7719066028369;22,2705715957447;"2005.06";9,7;825;288,75;536,25;35;8,0025;2,800875;5,201625
"142";"DF";2005;NA;198,941666666667;141,495833333333;890,187648416667;27,3406304166667;16,2986040833333;"2005.06";2,9;3030;1151,4;1878,6;38;8,787;3,33906;5,44794
"143";"ES";2005;NA;170,829166666667;144,35;1013,60666666667;29,5531825833333;21,2352915;"2005.06";0;0;0;0;0;0;0;0
"144";"GO";2005;NA;201,962068965517;142,647727272727;933,239559475;30,606954875;18,9786572348485;"2005.06";66,7;2905;1089,375;1815,625;37,5;193,7635;72,6613125;121,1021875
"145";"MA";2005;NA;212,105839416058;130,809722222222;991,364512351064;33,5104115539568;23,0158499393939;"2005.06";7,3;2850;1068,75;1781,25;37,5;20,805;7,801875;13,003125
"146";"MG";2005;61,6955378148148;191,379381443299;118,58275261324;933,515297183824;28,9439090402802;17,254537609319;"2005.06";30,4;2850;1068,75;1781,25;37,5;86,64;32,49;54,15
"147";"MS";2005;NA;205,601724137931;98,23;967,089710604167;30,80929905;18,925119;"2005.06";30;3600;1368;2232;38;108;41,04;66,96
"148";"MT";2005;NA;173,888571428571;126,724242424242;980,154530720721;33,193948266129;20,2863475555556;"2005.06";366;3600;1375,2;2224,8;38,2;1317,6;503,3232;814,2768
"149";"PA";2005;NA;191,64156626506;191,628488372093;997,239564153846;32,913556;23,7318663139535;"2005.06";0;0;0;0;0;0;0;0
"150";"PB";2005;NA;226,250746268657;89,9871428571429;964,2959895;30,6844744705882;21,1635653970588;"2005.06";8,5;810;283,5;526,5;35;6,885;2,40975;4,47525
"151";"PE";2005;NA;226,1;86,6623655913978;955,96107384058;29,7522261612903;20,230761827957;"2005.06";3,2;705;232,65;472,35;33;2,256;0,74448;1,51152
"152";"PI";2005;NA;242,080555555556;81,7421052631579;980,971937588235;34,2624570519481;22,2555504383562;"2005.06";13,8;2820;1015,2;1804,8;36;38,916;14,00976;24,90624
"153";"PR";2005;NA;180,895238095238;133,108333333333;930,035918095238;26,1946030416667;15,4345152395833;"2005.06";15,9;1890;667,17;1222,83;35,3;30,051;10,608003;19,442997
"154";"RJ";2005;NA;163,38125;116,213888888889;968,5319438;28,7269758888889;18,9749401666667;"2005.06";0;0;0;0;0;0;0;0
"155";"RN";2005;NA;242,158024691358;69,289156626506;989,299644;32,9392656707317;23,1107492439024;"2005.06";14,1;680;238;442;35;9,588;3,3558;6,2322
"156";"RO";2005;NA;NA;NA;NA;NA;NA;"2005.06";0;0;0;0;0;0;0;0
"157";"RR";2005;NA;186,988888888889;178,754166666667;NA;33,6050390833333;23,7452765833333;"2005.06";0;0;0;0;0;0;0;0
"158";"RS";2005;NA;188,700490196078;132,073488372093;959,554180244275;24,3307536093023;14,126661144186;"2005.06";0;0;0;0;0;0;0;0
"159";"SC";2005;NA;173,602380952381;162,582142857143;908,481265285714;24,1497148333333;14,1398435595238;"2005.06";0;0;0;0;0;0;0;0
"160";"SE";2005;NA;204,547058823529;83,85;992,114600153846;30,3882490833333;22,3009351714286;"2005.06";0;0;0;0;0;0;0;0
"161";"SP";2005;NA;186,00198019802;120,14964028777;930,75458217757;27,3375832919708;17,120444104;"2005.06";43,8;2430;899,1;1530,9;37;106,434;39,38058;67,05342
"162";"TO";2005;NA;204,627142857143;149,951388888889;977,308760583333;33,1778811944444;21,6633256527778;"2005.06";0;0;0;0;NA;0;0;0
"163";"AC";2006;100,873063285714;152,74;170,011111111111;990,320170565217;31,7388828888889;21,5304393888889;"2006.07";0;0;0;0;0;0;0;0
"164";"AL";2006;79,8386313235294;229,826315789474;101,101694915254;973,232132892857;30,2442783965517;21,4178964827586;"2006.07";11;405;134;271;33;4,5;1,5;3
"165";"AM";2006;121,812270842697;148,908088235294;216,213333333333;999,988988777778;32,8159953402778;23,1124600240964;"2006.07";0;0;0;0;0;0;0;0
"166";"AP";2006;119,163267;201,233333333333;235;1008,7;31,7120731666667;23,73043275;"2006.07";0;0;0;0;0;0;0;0
"167";"BA";2006;65,0610308894231;201,209937888199;80,1684523809524;960,992798532203;29,9859168947368;19,5752582074303;"2006.07";293,5;3900;1541;2360;39,5;1144,7;452,1;692,6
"168";"CE";2006;35,5621565714286;235,385106382979;78,9014184397163;969,734678541667;32,3621325460993;21,9999303687943;"2006.07";7,3;500;175;325;35;3,7;1,3;2,4
"169";"DF";2006;61,924859375;191,204166666667;142,308333333333;890,216116916667;27,0264753333333;15,6823477083333;"2006.07";1,6;3405;1328;2077;39;5,4;2,1;3,3
"170";"ES";2006;85,907240875;179,820833333333;122,0625;1016,18172;29,4351424583333;20,8760339583333;"2006.07";0;0;0;0;0;0;0;0
"171";"GO";2006;68,2824464367816;201,954166666667;139,50303030303;933,048728529412;30,2575450909091;18,5521814621212;"2006.07";76,7;3540;1381;2159;39;271,5;105,9;165,6
"172";"MA";2006;63,4809588765432;212,053623188406;144,694444444444;991,157723255556;32,9810241678322;22,7399383239437;"2006.07";7,3;3750;1444;2306;38,5;27,4;10,5;16,9
"173";"MG";2006;67,7563245898123;198,126021505376;115,147957371226;933,709833946342;28,8850917129964;16,8133245009141;"2006.07";32,5;3105;1164;1941;37,5;100,9;37,8;63,1
"174";"MS";2006;70,94670365625;215,963333333333;117,078333333333;966,010127782609;30,8884452333333;19,4542380208333;"2006.07";45,6;3930;1513;2417;38,5;179,2;69;110,2
"175";"MT";2006;84,8858341931818;175,961739130435;150,434848484848;980,907573861111;32,9922143307087;20,2902859153846;"2006.07";542;3705;1445;2260;39;2008,1;783,2;1224,9
"176";"PA";2006;95,1537586530612;192,553142857143;201,653409090909;997,104687701493;32,4610895397727;23,4397694829545;"2006.07";0;0;0;0;0;0;0;0
"177";"PB";2006;63,3914730476191;241,828571428571;86,5857142857143;962,569055362069;30,8488916428571;21,0090535142857;"2006.07";5,1;370;130;241;35;1,9;0,7;1,2
"178";"PE";2006;48,6509412545455;228,679347826087;69,858064516129;955,878690811594;29,9745177419355;20,2289179354839;"2006.07";2,9;480;158;322;33;1,4;0,5;0,9
"179";"PI";2006;42,9631502637363;238,936842105263;89,774025974026;981,668331767442;33,8024631363636;22,120138;"2006.07";13,2;1900;684;1216;36;25,1;9;16,1
"180";"PR";2006;73,61054146875;187,209523809524;114,702083333333;930,841827141177;26,4444847978723;15,0890883958333;"2006.07";12,7;2190;810;1380;37;27,8;10,3;17,5
"181";"RJ";2006;63,8329903191489;174,908333333333;97,4819444444445;969,686645133333;28,9441991267606;18,4625171830986;"2006.07";0;0;0;0;0;0;0;0
"182";"RN";2006;45,9604992708333;248,591463414634;76,3621951219512;990,73768068;32,7055659390244;23,0384741707317;"2006.07";12,7;665;233;432;35;8,4;3;5,4
"183";"RO";2006;NA;NA;NA;NA;NA;NA;"2006.07";0;0;0;0;0;0;0;0
"184";"RR";2006;120,464700571429;189,483333333333;213,1625;NA;33,2410181666667;23,647675375;"2006.07";0;0;0;0;0;0;0;0
"185";"RS";2006;67,8615721925926;201,816666666667;107,9875;961,102461176471;24,5563331388889;14,0069329490741;"2006.07";0;0;0;0;0;0;0;0
"186";"SC";2006;70,7030558958333;183,036904761905;114,722619047619;915,760285716981;24,3995252738095;14,1726683928571;"2006.07";0;0;0;0;0;0;0;0
"187";"SE";2006;91,9847145416667;212,586111111111;109,491666666667;997,094805588235;30,0935780555556;22,2958695833333;"2006.07";0;0;0;0;0;0;0;0
"188";"SP";2006;63,3253645348837;193,484693877551;125,1;936,800967752137;27,5391768085106;16,920804255814;"2006.07";32;2970;1129;1841;38;95;36,1;58,9
"189";"TO";2006;88,2596203958333;205,198529411765;147,956944444444;977,600309375;32,7706266388889;21,40308475;"2006.07";0,7;3750;1425;2325;38;2,6;1;1,6
"190";"AC";2007;117,491166611111;147,311111111111;178,308333333333;989,712617434783;31,6320073055556;21,3069458611111;"2007.08";0;0;0;0;0;0;0;0
"191";"AL";2007;82,3285136521739;221,584782608696;99,3604166666667;972,633497888889;29,6966857608696;20,9919631521739;"2007.08";11,6;356,8297;118;239;33;4,1;1,4;2,7
"192";"AM";2007;131,364742896104;152,769078947368;206,794011976048;1000,145688;32,9681055947712;22,9607465389222;"2007.08";0;0;0;0;0;0;0;0
"193";"AP";2007;118,399612833333;192,911111111111;224,608333333333;NA;32,0598779166667;24,1425089166667;"2007.08";0;0;0;0;0;0;0;0
"194";"BA";2007;58,8518365;214,149523809524;67,9660714285714;960,936758357388;30,3221084782609;19,2295064779874;"2007.08";315,6;3975;1570;2405;39,5;1254,5;495,5;759
"195";"CE";2007;54,6407204822695;242,789361702128;70,0070921985816;969,865778864583;32,5200895815603;21,9776322624113;"2007.08";4,5;745;261;484;35;3,4;1,2;2,2
"196";"DF";2007;50,576122;226,383333333333;98,7791666666667;890,471483041667;27,8708256666667;15,484905875;"2007.08";0;0;0;0;0;0;0;0
"197";"ES";2007;85,816242875;206,725;83,2375;1013,726066;30,0075540833333;21,0171051666667;"2007.08";0;0;0;0;0;0;0;0
"198";"GO";2007;67,7108624418605;221,301666666667;110,048484848485;933,263272891667;31,3220329212598;18,6010112093023;"2007.08";72,5;3750;1463;2288;39;271,9;106;165,9
"199";"MA";2007;75,5952590486111;228,402941176471;116,704166666667;991,714045795918;33,5588892916667;22,6051523732394;"2007.08";12,3;3750;1444;2306;38,5;46,1;17,8;28,3
"200";"MG";2007;61,2286469938272;220,995614035088;88,7513986013986;933,543126936274;29,7619395238938;16,8040620857664;"2007.08";20,6;3840;1440;2400;37,5;79,1;29,7;49,4
"201";"MS";2007;86,5510565217391;210,1375;104,761666666667;965,988084130435;30,9525079215686;19,2104397924528;"2007.08";44,1;4043;1557;2486;38,5;178,3;68,6;109,7
"202";"MT";2007;87,40137153125;179,2;126,713636363636;979,712882258621;33,6060142230769;19,8689501615385;"2007.08";541,8;3930;1533;2397;39;2129,3;830,4;1298,9
"203";"PA";2007;105,727069610778;196,723776223776;174,537430167598;997,253403688312;32,4299923579545;23,4413139137931;"2007.08";0;0;0;0;0;0;0;0
"204";"PB";2007;65,9306270588235;232,672727272727;86,7710144927536;963,784421827586;30,5872593235294;20,6729423088235;"2007.08";4;821;287;534;35;3,3;1,1;2,2
"205";"PE";2007;58,9919517472527;227,902173913043;78,1457446808511;957,533111746479;29,4967254301075;19,8962984431818;"2007.08";3,1;760;251;509;33;2,4;0,8;1,6
"206";"PI";2007;54,643887025974;254,790196078431;73,5730769230769;981,053770965116;34,1460527354839;21,9996445035461;"2007.08";14,6;3396;1223;2173;36;49,6;17,8;31,8
"207";"PR";2007;89,67139559375;189,427380952381;132,8;930,4387866;26,8429172857143;15,2987916875;"2007.08";6,5;2656;983;1673;37;17,3;6,4;10,9
"208";"RJ";2007;76,5158727183099;194,058333333333;100,406944444444;973,018458516129;29,5091928970588;18,6436228450704;"2007.08";0;0;0;0;0;0;0;0
"209";"RN";2007;58,4517811463415;243,45375;68,1602409638554;988,904501177778;32,7578555365854;22,7362893658537;"2007.08";7,9;776;272;504;35;6,1;2,1;4
"210";"RO";2007;NA;NA;NA;NA;NA;NA;"2007.08";0;0;0;0;0;0;0;0
"211";"RR";2007;111,351960125;180,991666666667;194,533333333333;NA;33,422242375;23,4530667916667;"2007.08";0;0;0;0;0;0;0;0
"212";"RS";2007;78,3891681782178;178,88785046729;147,49488372093;959,837633656488;23,8167880046512;13,9065059116279;"2007.08";0;0;0;0;0;0;0;0
"213";"SC";2007;83,399767125;167,811904761905;155,638095238095;914,08432775;24,0028049761905;14,2683540119048;"2007.08";0;0;0;0;0;0;0;0
"214";"SE";2007;82,7640852285714;201,672222222222;100,161111111111;996,4473161875;29,8019468333333;21,9755530555556;"2007.08";0;0;0;0;0;0;0;0
"215";"SP";2007;86,0939673969466;189,692452830189;116,847222222222;936,948407478992;28,0865787832168;17,2515499923664;"2007.08";16,7;3325;1264;2062;38;55,5;21,1;34,4
"216";"TO";2007;84,6676170138889;216,459420289855;108,491666666667;977,371575125;33,6458858611111;21,3055784166667;"2007.08";1,6;3729;1417;2312;38;6;2,3;3,7
"217";"AC";2008;109,631751166667;144,033333333333;179,1;989,5149457;31,2031823055556;21,5271996111111;"2008.09";0;0;0;0;0;0;0;0
"218";"AL";2008;70,366973122449;222,55;100,332;972,872449214286;30,1962419347826;21,1397465510204;"2008.09";3,1;240;79;161;33;0,7;0,2;0,5
"219";"AM";2008;129,305446939024;146,221290322581;232,692261904762;1000,579357125;32,5559462922078;22,6445462155689;"2008.09";0;0;0;0;0;0;0;0
"220";"AP";2008;113,085407833333;192,42;196,108333333333;1009,34086;31,8137158333333;24,1157211666667;"2008.09";0;0;0;0;0;0;0;0
"221";"BA";2008;62,4749900454545;209,765705128205;68,477380952381;961,316140397306;30,3732332391304;19,3408910543131;"2008.09";283,2;3330;1315;2015;39,5;943,1;372,5;570,6
"222";"CE";2008;61,0930604468085;228,387857142857;93,8156028368794;970,336730030612;32,0332565460993;21,8085485744681;"2008.09";3,8;720;252;468;35;2,7;1;1,7
"223";"DF";2008;64,63918125;206,033333333333;133,45;889,823987958333;27,3548140833333;15,2077835;"2008.09";0;0;0;0;0;0;0;0
"224";"ES";2008;83,5594374583333;180,220833333333;123,679166666667;1008,03;29,6000049583333;20,9777475;"2008.09";0;0;0;0;0;0;0;0
"225";"GO";2008;76,6398865238095;205,703333333333;137,092424242424;932,870318158333;30,6683525491803;18,3984725769231;"2008.09";57,3;4250;1658;2593;39;243,5;95;148,5
"226";"MA";2008;83,7587495957447;207,185714285714;155,970138888889;991,324671319588;33,1684116299213;22,2629504545455;"2008.09";12,8;3240;1247;1993;38,5;41,5;16;25,5
"227";"MG";2008;68,2102577732181;203,240139211137;120,666958041958;933,146587337438;29,196247625;16,6896647011278;"2008.09";15,3;3796;1461;2335;38,5;58,1;22,4;35,7
"228";"MS";2008;87,71067325;220,895652173913;116,848333333333;966,52270706383;30,6622705172414;19,0189098448276;"2008.09";36,9;3975;1550;2425;39;146,7;57,2;89,5
"229";"MT";2008;90,5754611393443;192,028571428571;144,204838709677;977,995301009009;33,1928746803279;19,5162691885246;"2008.09";387,4;4065;1585;2480;39;1574,8;614,2;960,6
"230";"PA";2008;112,499082572289;184,990173410405;206,313333333333;995,261335457143;32,2837789611111;23,3574594023669;"2008.09";0;0;0;0;0;0;0;0
"231";"PB";2008;71,4276647205882;228,028571428571;121,152857142857;962,462527224138;30,3767427571429;20,5419336571429;"2008.09";5,2;700;245;455;35;3,6;1,3;2,3
"232";"PE";2008;57,6128986304348;218,760869565217;86,5478723404255;955,26467784507;29,3508268817204;19,8125348933333;"2008.09";2,5;750;248;503;33;1,9;0,6;1,3
"233";"PI";2008;70,4838044266667;238,188811188811;106,252903225806;980,990190390805;33,4953229290323;21,6583736618705;"2008.09";11,2;3060;1163;1897;38;34,3;13;21,3
"234";"PR";2008;87,1782428541667;183,975;138,667708333333;931,277824569767;25,4356259382716;14,640111125;"2008.09";5,5;2430;923;1507;38;13,4;5,1;8,3
"235";"RJ";2008;84,1049858382353;164,689130434783;131,338888888889;975,864806457143;28,4681799852941;18,3082424571429;"2008.09";0;0;0;0;0;0;0;0
"236";"RN";2008;66,5122336153846;236,679452054795;102,173170731707;990,539278823529;32,4448630379747;22,6507544520548;"2008.09";9;506;177;329;35;4,6;1,6;3
"237";"RO";2008;NA;NA;NA;NA;NA;NA;"2008.09";0;0;0;0;0;0;0;0
"238";"RR";2008;106,5725425;182,6125;174,925;NA;33,0700965416667;23,3641495;"2008.09";0;0;0;0;0;0;0;0
"239";"RS";2008;71,3175759901478;197,641203703704;118,718055555556;960,056624083333;23,7511403302326;13,6733257407407;"2008.09";0;0;0;0;0;0;0;0
"240";"SC";2008;77,6997411388889;169,142857142857;171,85;910,12619222;23,3279740119048;13,7334405952381;"2008.09";0;0;0;0;0;0;0;0
"241";"SE";2008;79,2281962777778;202,013888888889;92,0277777777778;993,228184357143;30,1628664444444;22,1279432222222;"2008.09";0;0;0;0;0;0;0;0
"242";"SP";2008;86,1588359;181,243220338983;125,004895104895;936,619934319328;27,1909693928571;16,897301728;"2008.09";7,2;3690;1421;2269;38,5;26,6;10,2;16,4
"243";"TO";2008;89,7729541388889;201,615;147,088888888889;977,164448069444;33,236827942029;21,3609072;"2008.09";2,8;3150;1229;1922;39;8,8;3,4;5,4
"244";"AC";2009;115,655964361111;142,430555555556;197,605555555556;990,464259166667;31,3929098611111;21,9666661944444;"2009.10";0;0;0;0;0;0;0;0
"245";"AL";2009;82,8046248596491;225,415555555556;134,668965517241;975,118432433333;30,4359456315789;21,6698255438596;"2009.10";1,6;300;105;195;35;0,5;0,2;0,3
"246";"AM";2009;124,966775408805;150,387162162162;233,756363636364;1000,58502321429;32,8726194078947;23,1384510185185;"2009.10";0;0;0;0;0;0;0;0
"247";"AP";2009;106,837943083333;191,23;209;1010,85914;32,1709063333333;24,3142435833333;"2009.10";0;0;0;0;0;0;0;0
"248";"BA";2009;69,7135476079734;203,988178913738;75,2468468468469;961,224326996552;30,5680799680511;19,8454010857143;"2009.10";260,8;3900;1560;2340;40;1017,1;406,8;610,3
"249";"CE";2009;70,5797673732394;209,715602836879;118,844366197183;969,637967114583;31,616996471831;21,7901517535211;"2009.10";2,7;750;263;488;35;2;0,7;1,3
"250";"DF";2009;76,10218025;183,0375;132,895833333333;889,937891916667;27,1392222916667;16,1025405416667;"2009.10";0;0;0;0;NA;0;0;0
"251";"ES";2009;101,503674608696;185,463636363636;115,425;1012,78833333333;30,1772894347826;21,7094891304348;"2009.10";0;0;0;0;0;0;0;0
"252";"GO";2009;89,5380022845528;193,929126213592;146,770454545455;932,96487305;30,6456590606061;18,8809931818182;"2009.10";56,7;3975;1542;2433;38,8;225,4;87,4;138
"253";"MA";2009;89,6057341666667;194,651181102362;176,588888888889;991,072486815217;33,0437602302158;22,5702975069444;"2009.10";11,3;3810;1486;2324;39;43,1;16,8;26,3
"254";"MG";2009;79,454390997807;196,848223350254;122,418067978533;932,478870098485;29,4288866624088;17,5528508011257;"2009.10";15;3720;1458;2262;39,2;55,8;21,9;33,9
"255";"MS";2009;92,7973682291667;212,265957446808;122,931666666667;966,181237702128;31,2876465833333;19,2029548510638;"2009.10";38,6;3705;1445;2260;39;143;55,8;87,2
"256";"MT";2009;105,40375884252;181,698969072165;143,791472868217;979,375103086957;33,0316968650794;20,0936818968254;"2009.10";428,1;3495;1363;2132;39;1496,2;583,5;912,7
"257";"PA";2009;101,986418586826;183,998113207547;216,115642458101;996,113192985915;32,4586790223464;23,448268816092;"2009.10";0;0;0;0;0;0;0;0
"258";"PB";2009;76,6813199090909;219,015384615385;128,15652173913;962,689747368421;30,4323841911765;20,6716836029412;"2009.10";0,5;183;64;119;35;0,1;0;0,1
"259";"PE";2009;67,2803369111111;216,641111111111;95,1516129032258;948,336950865854;29,754199;20,6368263125;"2009.10";2,5;600;210;390;35;1,5;0,5;1
"260";"PI";2009;78,285064337931;226,538;120,32064516129;980,858702619048;33,1841006887417;21,5175476115108;"2009.10";5,9;3450;1363;2087;39,5;20,4;8;12,4
"261";"PR";2009;87,1999085416667;162,674698795181;173,407291666667;929,092359738095;25,8153922340426;15,6436282291667;"2009.10";0,1;2051;779;1272;38;0,2;0,1;0,1
"262";"RJ";2009;92,6932235694444;163,973913043478;127,913888888889;973,342061212121;29,3130783230769;19,3857181076923;"2009.10";0;0;0;0;0;0;0;0
"263";"RN";2009;83,3313988101266;227,585135135135;122,844578313253;990,34062522;32,1181056097561;22,5391702253521;"2009.10";3;500;175;325;35;1,5;0,5;1
"264";"RO";2009;NA;NA;NA;NA;NA;NA;"2009.10";0;0;0;0;0;0;0;0
"265";"RR";2009;97,6276406666667;209,995833333333;120,3;NA;33,78497275;24,0383760833333;"2009.10";0;0;0;0;0;0;0;0
"266";"RS";2009;73,9172057401961;183,404186046512;157,058333333333;959,601433955224;23,9098088194444;13,7443280694444;"2009.10";0;0;0;0;0;0;0;0
"267";"SC";2009;82,157418983871;157,322891566265;167,169879518072;908,635707489796;23,8615930963855;14,3186198433735;"2009.10";0;0;0;0;0;0;0;0
"268";"SE";2009;68,5869958055556;209,230555555556;100,533333333333;995,40910925;30,7166525;22,6365556944444;"2009.10";0;0;0;0;0;0;0;0
"269";"SP";2009;92,3997931034483;165,511403508772;159,409154929577;936,975534931624;26,9298419302326;16,7645468848921;"2009.10";4,9;3380;1318;2062;39;16,6;6,5;10,1
"270";"TO";2009;106,549927507042;195,515;149,581944444444;977,382685555556;32,9377694393939;21,9226880666667;"2009.10";4;3450;1346;2105;39;13,8;5,4;8,4
"271";"AC";2010;106,117094;154,191666666667;143,127777777778;990,32672375;32,2196313333333;21,4350224166667;"2010.12";0;0;0;0;0;0;0;0
"272";"AL";2010;82,7854030178571;225,397619047619;113,584210526316;972,590800347826;30,40187;21,9153439444444;"2010.12";0,6;320;112;208;35;0,2;0,1;0,1
"273";"AM";2010;129,138414981818;153,156164383562;201,026946107784;999,247755181818;33,0556965783133;23,3080976167665;"2010.12";0;0;0;0;0;0;0;0
"274";"AP";2010;138,494819083333;217,154545454545;201,3;1008,34881;32,8459843333333;24,5470315833333;"2010.12";0;0;0;0;0;0;0;0
"275";"BA";2010;66,9777860338983;208,0375;78,7868902439024;961,899668179931;30,4916537824675;19,9279155684211;"2010.12";405,3;3975;1562;2413;39,3;1611,1;633,1;978
"276";"CE";2010;57,4397181503759;239,338970588235;63,1635714285714;969,71442015625;33,1121180145985;22,2973711240876;"2010.12";3,1;1010;354;657;35;3,1;1,1;2
"277";"DF";2010;64,13067275;221,608333333333;121,1875;890,031514291667;27,9147505416667;15,735582375;"2010.12";0,7;2435;945;1490;38,8;1,7;0,7;1
"278";"ES";2010;80,0552039090909;187,1;98,1391304347826;1015,059258;29,8056754545455;21,3961203181818;"2010.12";0;0;0;0;0;0;0;0
"279";"GO";2010;78,5398015702479;220,480208333333;112,550757575758;932,91405;31,5673242121212;18,50214203125;"2010.12";108,3;3960;1501;2459;37,9;428,9;162,5;266,4
"280";"MA";2010;93,4557255625;225,085314685315;113,59375;991,383067474747;34,0042852517483;22,9312615763889;"2010.12";18,1;3930;1533;2397;39;71,1;27,7;43,4
"281";"MG";2010;70,7244837093275;218,795693779904;102,576021314387;933,660805174447;29,6231703157895;16,8940329847909;"2010.12";31,6;3663;1436;2227;39,2;115,8;45,4;70,4
"282";"MS";2010;83,921177;216,485106382979;105,893333333333;965,079176377778;31,1222464347826;18,3805546428571;"2010.12";61;3750;1463;2288;39;228,8;89,2;139,6
