"","UF","Safra","Area","AreaFormacao","Produtividade","Producao"
"1","RO","2001",245000,73000,7.79591836734694,1910
"2","PA","2001",19400,2200,12.8865979381443,250
"3","BA","2001",95600,17940,22.907949790795,2190
"4","MT","2001",38100,12600,9.18635170603675,350
"5","GO","2001",0,0,0,0
"6","MG","2001",891100,164900,16.4852429581416,14690
"7","ES","2001",510930,64330,14.7769753195154,7550
"8","RJ","2001",10400,1050,15.3846153846154,160
"9","SP","2001",223470,34220,15.7515550185707,3520
"10","PR","2001",127700,67300,4.22866092404072,540
"11","RO","2002",165000,26000,12.7272727272727,2100
"12","PA","2002",19500,3300,15.8974358974359,310
"13","BA","2002",103000,10100,22.3300970873786,2300
"14","MT","2002",36900,4300,13.2791327913279,490
"15","GO","2002",0,0,0,0
"16","MG","2002",1070000,142000,23.4953271028037,25140
"17","ES","2002",529000,60500,17.6275992438563,9325
"18","RJ","2002",12480,1010,20.4326923076923,255
"19","SP","2002",225000,29100,25.7777777777778,5800
"20","PR","2002",128000,9800,18.28125,2340
"21","RO","2003",188000,18000,13.2978723404255,2500
"22","PA","2003",18000,2000,12.2222222222222,220
"23","BA","2003",95200,2800,18.6974789915966,1780
"24","MT","2003",36100,3200,11.9113573407202,430
"25","GO","2003",0,0,0,0
"26","MG","2003",977000,116000,12.3336745138178,12050
"27","ES","2003",521000,29900,12.6871401151631,6610
"28","RJ","2003",11000,1000,11.8181818181818,130
"29","SP","2003",210000,21000,13.3809523809524,2810
"30","PR","2003",123200,10400,15.9902597402597,1970
"31","RO","2004",188000,9000,9.36170212765957,1760
"32","PA","2004",18781,1400,11.7139662424791,220
"33","BA","2004",96710,2155,23.5652983145486,2279
"34","MT","2004",34517,2500,8.98108178578671,310
"35","GO","2004",0,0,0,0
"36","MG","2004",1001577,144050,18.7474352945405,18777
"37","ES","2004",507786,19455,13.3816213916886,6795
"38","RJ","2004",13894,460,18.7131135742047,260
"39","SP","2004",204700,19000,28.676111382511,5870
"40","PR","2004",117105,5279,21.5703855514282,2526
"41","RO","2005",165910,6300,10.6804894219758,1772
"42","PA","2005",22600,1400,14.6017699115044,330
"43","BA","2005",97175,2415,18.6467712889118,1812
"44","MT","2005",34500,2500,8.98550724637681,310
"45","GO","2005",0,0,0,0
"46","MG","2005",1033533,156505,14.7252192237693,15219
"47","ES","2005",493958,26698,16.3374214002,8070
"48","RJ","2005",13970,500,21.3314244810308,298
"49","SP","2005",221040,15893,14.5810712993123,3223
"50","PR","2005",106380,6935,13.4893777025757,1435
"51","RO","2006",162627,2653,7.76623807854784,1263
"52","PA","2006",20915,1350,13.3875209180014,280
"53","BA","2006",97794,2750,23.0177720514551,2251
"54","MT","2006",32230,2750,7.75674837108284,250
"55","GO","2006",0,0,0,0
"56","MG","2006",1011865,117033,21.7291832408473,21987
"57","ES","2006",473256,21790,19.0362087326944,9009
"58","RJ","2006",13800,430,19.1304347826087,264
"59","SP","2006",212100,14670,21.0749646393211,4470
"60","PR","2006",100330,5320,22.4060600019934,2248
"61","RO","2007",153281,7950,9.66851729829529,1482
"62","PA","2007",15137,1445,17.57,266
"63","BA","2007",151792,3762.3,15.4290081163698,2342
"64","MT","2007",16227,1438,9.43,153
"65","GO","2007",0,0,0,0
"66","MG","2007",1016414,131481,16.2069786523995,16473
"67","ES","2007",517729,23186,19.9061671260447,10306
"68","RJ","2007",14048,260,20,281
"69","SP","2007",168700,13235,15.6016597510373,2632
"70","PR","2007",97842,8200,17.7020093620327,1732
"71","RO","2008",155972,7045,12.0277998615136,1876.04
"72","PA","2008",12917,2365,18.04,233
"73","BA","2008",125033.4,5795.6,17.123479401438,2141.04
"74","MT","2008",15007,5301,9.19570866928767,138
"75","GO","2008",0,0,0,0
"76","MG","2008",1048172,122156,22.4972618997645,23581
"77","ES","2008",489592,27147,20.8949492638769,10230
"78","RJ","2008",13562,260,19.64,266.41
"79","SP","2008",188495,12106,23.4488978487493,4420
"80","PR","2008",96920,8580,26.9087907552621,2608
"81","RO","2009",154335,6152,10.0236498525934,1547
"82","PA","2009",12407,150,18.3767228177642,228
"83","BA","2009",126170,7754,14.8529761432987,1873.5
"84","MT","2009",15272,1438,9.23258250392876,141
"85","GO","2009",0,0,0,0
"86","MG","2009",1000731,149053,19.8654783353369,19880
"87","ES","2009",479798,33892,21.2693675255003,10205
"88","RJ","2009",13923,200,19.0627020038785,265.41
"89","SP","2009",182020,10410,18.8056257554115,3423
"90","PR","2009",85180,12240,17.2223526649448,1467
"91","RO","2010",154783,6955,15.31,2369
"92","PA","2010",13500,150,16.9333333333333,228.6
"93","BA","2010",139550,10464,16.4292368326765,2292.7
"94","MT","2010",15186,6307,13.3741604109048,203.1
"95","GO","2010",0,0,0,0
"96","MG","2010",1006719,131499,24.9871115971786,25155
"97","ES","2010",463307,35317,21.9,10147
"98","RJ","2010",13100,150,19.0916030534351,250.1
"99","SP","2010",166195,8634,28.05,4662
"100","PR","2010",82613,11376,27.65,2284
"101","RO","2011",153391,6220,9.31149806703131,1428.3
"102","PA","2011",10448,0,17.6110260336907,184
"103","BA","2011",138833.5,9855,16.4945780377214,2290
"104","MT","2011",19884,3150,6.93019513176423,137.8
"105","GO","2011",0,0,0,0
"106","MG","2011",1000869,136435,22.1617414466828,22181
"107","ES","2011",452527,34737,25.5741646354803,11573
"108","RJ","2011",12864,15,20.2114427860697,260
"109","SP","2011",169538,13238,18.3528176573983,3111.5
"110","PR","2011",74752,16658,24.6414811643836,1842
"111","RO","2012",125667,5714,10.877955230888,1367
"112","PA","2012",10185,140,16.3966617574865,167
"113","BA","2012",138213,8329.7,15.5528061759748,2149.6
"114","MT","2012",21028,1747,5.90165493627544,124.1
"115","GO","2012",6320,1707,39.1455696202532,247.4
"116","MG","2012",1028425,185555,26.1992853149233,26944
"117","ES","2012",450128,41358,27.7743219706395,12502
"118","RJ","2012",13225,7,19.8260869565217,262.2
"119","SP","2012",175137,17525,30.5851990156278,5356.6
"120","PR","2012",67177,16873,23.5199547464162,1580
"121","RO","2013",102840,5465,13.195254764683,1357
"122","PA","2013",6383,95,19.0662697791007,121.7
"123","BA","2013",134511.1,12494.4,13.4063285483503,1803.3
"124","MT","2013",20890,1251,8.2096696984203,171.5
"125","GO","2013",6382.6,1495,41.5974681164416,265.5
"126","MG","2013",1037797,193981,26.6526112524896,27660
"127","ES","2013",453167,45915,25.811676490124,11697
"128","RJ","2013",13276,4,21.1660138595963,281
"129","SP","2013",162328.5,17027.5,24.7036102717637,4010.1
"130","PR","2013",65150,16810,25.3261703760553,1650
"131","RO","2014",86004,8040,17.1766545742059,1477.261
"132","PA","2014",4377,65,15.6956819739548,68.7
"133","BA","2014",143939,13262.4,16.4740897185613,2371.264
"134","MT","2014",20115,1683,8.24260502112851,165.8
"135","GO","2014",6136.8,1571,38.5542953982532,236.6
"136","MG","2014",995079,206340,22.7560826828825,22644.1
"137","ES","2014",433242,41443,29.5578452689259,12805.7
"138","RJ","2014",12783,0,22.866306813737,292.3
"139","SP","2014",199686,12350,22.980078723596,4588.8
"140","PR","2014",33251,22248,16.7994947520375,558.6
"141","RO","2015Prev",86004,8040,17.5701130179992,1511.1
"142","PA","2015Prev",4377,65,15.6728352753027,68.6
"143","BA","2015Prev",147656.5,11770.4,15.9403751274072,2353.7
"144","MT","2015Prev",20115,1683,8.2475764354959,165.9
"145","GO","2015Prev",6136.8,1571,45.3656628861948,278.4
"146","MG","2015Prev",973581,234576,23.3252292310552,22709
"147","ES","2015Prev",435273,42057,26.2168799810694,11411.5
"148","RJ","2015Prev",12783,0,22.8741297035125,292.4
"149","SP","2015Prev",194306.7,12536,21.5453198474371,4186.4
"150","PR","2015Prev",42300,10600,23.6406619385343,1000
